NUMBER,SENTENCE,ACTUAL_VALUE,PREDICTED_VALUE
0,"4 Content and Intellectual Property Rights User Content",0,0
1,"These Terms apply to all visitors, users and others who access or use the Service.",0,0
2,"NOMO CAM only authorise yourself, inalienable and non-exclusive use right, therefore, you can use the object code on a single terminal, but you shall not (nor can you allow any third party to) discover source code by duplicate, change, produce derivative work, reverse engineer, decompile or by other means, or sell, transfer, re-authorise or create a security on the Software, or transfer any rights of the Software by any means.",2,0
3,"If you believe that a Member, Listing or Content poses an imminent risk of harm to a person or property, you should immediately contact local authorities before contacting Airbnb.",3,0
4,"Following any termination of the licenses set forth in this Section, 9GAG may make and retain archival copies of your User Content in a manner consistent with 9GAG’s practices regarding data retention and backups.",1,1
5,"You may not use Marks without the prior written consent of JetBrains or (as applicable) the third-party owner of the Marks.",2,2
6,"NordVPN Terms of Service",0,0
7,"VAT Invoices.",0,0
8,"For notifications from Users to LINE regarding the Services, Users shall use the customer inquiry form available on the Services or on LINE’s website, or through other means designated by LINE.",3,0
9,"You promise not to disclose, publish, or disseminate any Confidential Information to any third party, unless we don’t otherwise prohibit or restrict such disclosure (for example, you might be part of a GitHub-organized group discussion about a private Beta Preview feature).",2,0
10,"You further agree that no User Submissions submitted by you to us will be or contain libelous or otherwise unlawful, threatening, abusive or obscene material, or contain software viruses, political campaigning, commercial solicitation, chain letters, mass mailings or any form of “spam”.",3,3
11,"In the event that we suspend or terminate your access to and/or use of the Services, you will continue to be bound by the Terms of Use that were in effect as of the date of your suspension or termination.",0,0
12,"REFACE does not claim ownership of any user content.",0,0
13,"If you don’t agree to all the terms and conditions, then you may not access the site or use any services offered.",3,2
14,"You agree to comply with all applicable export and reexport control laws and regulations, including without limitation the EAR and trade and economic sanctions maintained by OFAC.",3,0
15,"Canva agrees to abide by all applicable local, state, national and foreign laws, treaties and regulations, in connection with its provision of the Service.",3,0
16,"Any complaints between Partners and Consumers must be taken up with each other directly.",3,0
17,"Truecaller makes no warranty or representation that the Services are available for use in any particular location.",0,0
